ID;Spalte1;Haupteintrag;Nr;Funktion;Inhalt;Zusatz;Typ2
p01126;;alle westlichen Bischöfe;211;Empfänger;alle westlichen Bischöfe;;t:persName
p01130;;Alvis, Bischof;1071;;Bischofs Alvis;;t:persName
p01131;Alvis, Bischof von Arras;Alvis, Bischof von Arras;439;Empfänger;Alvis von Arras;Arras;t:persName
p01143;;Amalrich;164;;Amalrich;;t:persName
p01148;;Amalrich von Tours;54a;;Amalrich von Tours;Tours;t:persName
p01149;;Amatus, Bischof von Oloron;309;;Amatus, (Bischof von Oloron;Oloron;t:persName
o02026;;Dottignies;1075a;Ort;Dottignies;Dottignies;t:placeName
;;;1079d;Ort;Dottignies;Dottignies;t:placeName
;;;1079g;Ort;Dottignies;Dottignies;t:placeName
o02029;;Douzy;99a;Ausstellungort;Douzy;Douzy;t:placeName
;;;99b;Ort;Douzy;Douzy;t:placeName
p01152;;Amelius dAubigny-au-Bac, c. Arleux, arr. Douai, Nord;686;;Amelius d’Aubigny(-au-Bac?, c. Arleux, arr. Douai, Nord);d’Aubigny(-au-Bac?, c. Arleux, arr. Douai, Nord);t:persName
;;;792;;Drogo;;t:persName
;;;793;;Drogo;;t:persName
p01154;;An. aus Loisy-en-Brie, c. Vertus, arr. Châlons-en-Champagne, Marne;940;;An. aus Loisy(-en-Brie, c. Vertus, arr. Châlons-en-Champagne, Marne);Loisy(-en-Brie, c. Vertus, arr. Châlons-en-Champagne, Marne);t:persName
p01237;;Anastasius, Bibliothekar des apostolischen Stuhles;88;;Anastasius, Bibliothekar des apostolischen Stuhles;;t:persName
p01238;;Anastasius Bibliothecarius;103;;Anastasius (Bibliothecarius);;t:persName
p01239;Anastasius Bibliothecarius, Abt von Santa Maria in Trastevere;Anastasius Bibliothecarius, Abt;86;Empfänger;Abt Anastasius (Bibliothecarius);;t:persName
p01241;Anastasius IV., Papst;Anastasius IV.;483;Aussteller;Anastasius’ IV.;;t:persName
p01242;;Anch. de Waiseac.;655;;Anch. de Waiseac.;;t:persName
p01243;;andere Frau;40;;andere Frau;;t:persName
p01245;;anderen Mitbischöfen;62;;anderen Mitbischöfen;;t:persName
;;;813;;Drogon;;t:persName
p01246;;Andreas, Bischof von Arras;597;;A(ndreas), Bischof von Arras;Arras;t:persName
p01249;;Angeln;125;;Angeln;;t:persName
p01250;;Angers;226;;, Angers;Angers;t:persName
p01254;;Angult. de Aiteio;705;;Angult. de Aiteio;Aiteio;t:persName
p01255;;Anna, Königin;242;;Königin (Anna);;t:persName
p01256;Ansegis, Erzbischof von Sens;Ansegis von Sens;109;Empfänger;Ansegis von Sens;Sens;t:persName
p01258;Anselm, Abt von Le Bec;Anselm, Abt von Le Bec;320;Aussteller;Anselm, Abt von Le Bec;Le Bec;t:persName
p01259;;Anselm, Bischof von Tournai;470;;Anselms, des Bischofs von Tournai;Tournai;t:persName
p01260;;Anselm, Nachfolger;550;;Nachfolgers Anselm;;t:persName
;;;294;;);;t:persName
;;;311;Empfänger;Graf Ebalus (von Roucy;Roucy;t:persName
;;;311;Empfänger;);;t:persName
p01261;;Anselme de curia de Hilbercurte;987;;Anselme de curia de Hilbercurte;curia de Hilbercurte;t:persName
p01262;;Anskar, Bischof der Nordalbingier;15;;Anskar, den ersten Bischof der Nordalbingier;;t:persName
;;;525;Empfänger;E(berhard), Erzbischof von Salzburg;Salzburg;t:persName
p01263;;Anskar von Corbie;14;;Anskar von Corbie;Corbie;t:persName
p01264;;Ansold, Abt und Brüder von Saint-Corneille in Compiègne;946;;Abt (Ansold) und die Brüder (von Saint-Corneille) in Compiègne;Saint-Corneille) in Compiègne;t:persName
;;;223b;;(Eberhard) von Trier;Trier;t:persName
;;;225;;(Eberhard) von Trier;Trier;t:persName
p01265;;Aprilis de Manso;706;;Aprilis de Manso;Manso;t:persName
;;;22;;Ebo;;t:persName
;;;25;;Ebo;;t:persName
;;;29;;Ebos;;t:persName
;;;30;;Ebos;;t:persName
;;;32;;Ebo;;t:persName
;;;74;;Ebo;;t:persName
;;;76;;Ebo;;t:persName
;;;79;;Ebo;;t:persName
;;;82;;Ebo;;t:persName
;;;86;;Ebos;;t:persName
;;;86;;Ebo;;t:persName
;;;19;Empfänger;Ebo, Bischof von Hildesheim;Hildesheim;t:persName
;;;10;Empfänger;Ebo, Erzbischof von Reims;Reims;t:persName
;;;11;;Erzbischofs Ebo von;;t:persName
;;;12;;Ebo, Erzbischof von Reims;Reims;t:persName
;;;13;Aussteller;Ebos, Erzbischof von Reims;Reims;t:persName
;;;14;Empfänger;Ebo, Erzbischof von Reims;Reims;t:persName
;;;15;;Ebo, dem Erzbischof von Reims;Reims;t:persName
;;;16;;Erzbischof Ebos von Reims;Reims;t:persName
;;;17;;Erzbischof Ebos von Reims;Reims;t:persName
;;;18;;Erzbischofs Ebo (von Reims);Reims;t:persName
;;;20;Empfänger;Erzbischöfen Ebo (von Reims);Reims;t:persName
;;;42;;Erzbischof Ebo;;t:persName
;;;50;;(Erzbischof) Ebo;;t:persName
;;;72;;Ebo, ehemals Erzbischof von Reims;Reims;t:persName
p01267;;Araldus, Priester, Überbringer;895;;Priester Araldus, Überbringer;;t:persName
p01268;;Archembald, Subdekan in Orléans;434;;Archembald, Subdekan in Orléans;Orléans;t:persName
p01270;;Archidiakone, die Dignitäre und die gesamte Kirche von Reims;440;Empfänger;Archidiakone, die Dignitäre und die gesamte Kirche von Reims;Reims;t:persName
p01271;;Archidiakone, Pröpste und Dekane in der Kirchenprovinz Reims;1082;Empfänger;Archidiakone, Pröpste und Dekane in der Kirchenprovinz Reims;Kirchenprovinz Reims;t:persName
;;;520;;ecclesia Gallicana;;t:orgName
;;;525;;ecclesia Gallicana;;t:orgName
p01272;;Ardicio, Kardinaldiakon von San Teodoro;583;;Ar(dicio), Kardinaldiakon von San Teodoro;San Teodoro;t:persName
p01274;;Arn.;943;;Arn.;;t:persName
;;;735;;Egidius, Priester von Monthenault (c. Craonne, arr. Laon, Aisne);Monthenault (c. Craonne, arr. Laon, Aisne);t:persName
p01275;;Arn., Kleriker;639;;Kleriker namens Arn.;;t:persName
p01276;;Arnold, Bischof von Soissons;314;;Bischofs (Arnold) von Soissons;Soissons;t:persName
;;;77;Empfänger;Egilo, Erzbischof von Sens;Sens;t:persName
;;;78;Empfänger;Egilo, Erzbischof von Sens;Sens;t:persName
;;;82;;Egilo, Erzbischof von Sens;Sens;t:persName
p01277;Arnold, Erzbischof von Trier;Arnold, Erzbischof von Trier;1060;Empfänger;(Arnold), Erzbischof von Trier;Trier;t:persName
;;;324;;Ehefrau;;t:persName
;;;704;;Ehefrau;;t:persName
;;;880;;Ehefrau;;t:persName
;;;884;;Ehefrau;;t:persName
;;;892;;Ehefrau;;t:persName
;;;903;;Ehefrau;;t:persName
p01278;;Arnold von Brescia;453;;Arnold von Brescia;Brescia;t:persName
p01279;;Arnulf;193;;Arnulf;;t:persName
p01290;Arnulf, Bischof von Lisieux;Arnulf, Bischof von Lisieux;481;Empfänger;Arnulf, Bischof von Lisieux;Lisieux;t:persName
p01291;Arnulf, Bischof von Orléans;Arnulf, Bischof von Orléans;196;Aussteller;Arnulf, Bischof von Orléans;Orléans;t:persName
p01292;Arnulf, Bischof von Verdun;Arnulf, Bischof von Verdun;1060;Empfänger;(Arnulf), Bischof von Verdun;Verdun;t:persName
p01293;;Arnulf, Elekt von Verdun;835;Empfänger;(Arnulf), Elekt von Verdun;Verdun;t:persName
p01294;Arnulf, Erzbischof von Reims;Arnulf, Erzbischof von Reims;209;Empfänger;Arnulf, (Erzbischof von Reims;Reims;t:persName
;;;813;;Elekten von Cambrai;Cambrai;t:persName
p01308;;Arnulf, König;153;;König Arnulfs;;t:persName
p01309;;Arnulf de Landas c. Orchies, arr. Douai, Nord;872;;Arnulf de Landas (c. Orchies, arr. Douai, Nord);Landas (c. Orchies, arr. Douai, Nord);t:persName
;;;743;;);;t:persName
p01310;;Arnulf de Landas c. Orchies, arr. Douai, Nord, edler Herr;732;;edle Herr A(rnulf) de Landas (c. Orchies, arr. Douai, Nord);de Landas (c. Orchies, arr. Douai, Nord);t:persName
p01311;;Arnulf von Chiny, Graf;294;;Grafen A(rnulf von Chiny;Chiny;t:persName
p01313;;Arnulf von Kärnten;145;;Arnulf (von Kärnten);Kärnten;t:persName
p01314;;Arnulf von Kärnten, König;144;;König Arnulf (von Kärnten);Kärnten;t:persName
p01315;;Arnulf von Landas;868;;Arnulf von Landas;Landas;t:persName
p01322;;Arraudus, Abt von Saint-Benoît-sur-Loire;1044;;(Arraudus), Abt von Saint-Benoît-sur-Loire;Saint-Benoît-sur-Loire;t:persName
p01323;;Arsenius, Apokrisiar der heiligen römischen Kirche;75;;Arsenius, Apokrisiar der heiligen römischen Kirche;;t:persName
p01324;;Arsenius, Bischof von Orte;86;;Arsenius (Bischof von Orte);Orte;t:persName
p01326;;Artald von Reims;166;Empfänger;Artald von Reims;Reims;t:persName
p01327;;Artold;170;;Artold;;t:persName
p01332;Artold, Erzbischof von Reims;Artold, Erzbischof von Reims;164;Aussteller;Artold, Erzbischof von Reims;Reims;t:persName
p01340;;Arwinus;755;;Arwinus;;t:persName
p01341;;Ascelinus de Firmitate;580;;Ascelinus de Firmitate;Firmitate;t:persName
o02133;;Épernay Marne;1042;Ort;Épernay (Marne);Épernay (Marne);t:placeName
p01349;Aurelian, Erzbischof von Lyon;Aurelian von Lyon;126;Empfänger;Aurelian von Lyon;Lyon;t:persName
o02135;;Eppes c. et arr. Laon, Aisne;789;Ort;Eppes (c. et arr. Laon, Aisne);Eppes (c. et arr. Laon, Aisne);t:placeName
o02136;;Eppeville c. Ham, arr. Péronne, ibid.;674;Ort;Eppeville (c. Ham, arr. Péronne, ibid.);Eppeville (c. Ham, arr. Péronne, ibid.);t:placeName
o02137;;Eppeville c. Ham. arr. Péronne, Somme;673;Ort;Eppeville (c. Ham. arr. Péronne, Somme);Eppeville (c. Ham. arr. Péronne, Somme);t:placeName
p01351;;Ausculph, Bischof von Soissons;851;;Bischof A(usculph) von Soissons;Soissons;t:persName
p01358;;Azzo, Kanoniker an Saint-Amé in Douai;284;;Azzo, Kanoniker an Saint-Amé in Douai;Saint-Amé in Douai;t:persName
p01359;;B, Priester;852;;Priester B;;t:persName
p01360;;B.;782;;B.;;t:persName
p01361;;B., Bruder Hardouins;751;;B., einen Bruder Hardouins;;t:persName
p01362;;B., Kanoniker von Laon Aisne;964;;B., Kanoniker von Laon (Aisne);Laon (Aisne);t:persName
p01363;;B., Kleriker;580;;Klerikers B.;;t:persName
;;;117;;Erminfrid;;t:persName
p01364;;B., Kleriker, Überbringer;679;;Überbringer, Kleriker B.;;t:persName
p01365;;B., Priester;726;;Priesters B.;;t:persName
p01367;;B., Regularkanoniker, Bote aus Le Mont-Saint-Eloi arr. Arras, Pas-de-Calais;1117;;(Regular)kanonikers B., Bote aus Le Mont-Saint-Eloi (arr. Arras, Pas-de-Calais);Le Mont-Saint-Eloi (arr. Arras, Pas-de-Calais);t:persName
p01368;;B., Regularkanoniker von Saint-Jean-des-Vignes Soissons, Aisne;861;;B., Regularkanoniker von Saint-Jean-des-Vignes (Soissons, Aisne);Saint-Jean-des-Vignes (Soissons, Aisne);t:persName
;;;661;;Frau Ersend(is);;t:persName
p01369;;B. de Romery c. Guise, arr. Vervins, Aisne, miles;794;;miles B. de Romery (c. Guise, arr. Vervins, Aisne);Romery (c. Guise, arr. Vervins, Aisne);t:persName
p01370;;Badar, miles;652;;miles Badar;;t:persName
p01371;;Balderich, Bischof von Noyon;358;;Bischofs Balderich von Noyon;Noyon;t:persName
p01372;;Balduin;729;;Balduin;;t:persName
p01375;;Balduin, ehemals Bischof von Noyon;669;;B(alduin), ehemals Bischof von Noyon;Noyon;t:persName
;;;426;Empfänger;;;t:persName
p01376;;Balduin, Graf von Flandern;1131;;Grafen (Balduin) von Flandern;Flandern;t:persName
p01377;;Balduin, Graf von Hennegau;414;;Grafen Balduins von Hennegau;Hennegau;t:persName
p01378;;Balduin, ihr ehemaliger Mann;887;;Balduin, ihr ehemaliger Mann;;t:persName
p01379;;Balduin, Priester der Kirche Saint-Martin;751;;Balduins, Priester der Kirche Saint-Martin;Saint-Martin;t:persName
p01380;;Balduin, Überbringer;640;;Überbringer Balduin;;t:persName
p01381;;Balduin als Elekten von Noyon;350;;Balduin als Elekten von Noyon;Noyon;t:persName
p01382;Balduin II., Bischof von Noyon;Balduin II., Bischof von Noyon;623;;Bischof (Balduin II.) von Noyon;Noyon;t:persName
;;;197;Empfänger;Erzbischöfe und Bischöfe Galliens (?);Galliens (?);t:persName
;;;200;Empfänger;Erzbischöfe und Bischöfe Galliens;Galliens;t:persName
;;;202;Empfänger;Erzbischöfe und Bischöfe Galliens;Galliens;t:persName
p01386;;Balduin II. von Noyon;480;Empfänger;(Balduin II.) von Noyon;Noyon;t:persName
p01388;Balduin III., Bischof von Noyon;Balduin III., Bischof von Noyon;673;;Bischofs Balduin III. von Noyon;Noyon;t:persName
;;;57;;Erzbischöfe und Bischöfe im Reich Karls (des Kahlen);Reich Karls (des Kahlen);t:persName
;;;87;;Erzbischöfe und Bischöfe im Reich Karls (des Kahlen);Reich Karls (des Kahlen);t:persName
p01389;;Balduin III., ehemals Bischof von Noyon;674;;B(alduin III.), ehemals Bischof von Noyon;Noyon;t:persName
;;;515;;Erzbischöfe von Bourges;Bourges;t:persName
p01390;;Balduin III. von Noyon;723;;(Balduin III.) von Noyon;Noyon;t:persName
;;;1075a;;Erzbischöfe von Reims;Reims;t:persName
p01393;;Balduin IV., Graf von Hennegau;413;;Graf Balduin (IV.) von Hennegau;Hennegau;t:persName
p01395;;Balduin IV., Graf von Hennegau Hainaut, Belgien;717;;Grafen B(alduin IV.) von Hennegau (Hainaut, Belgien);Hennegau (Hainaut, Belgien);t:persName
p01396;;Balduinus von Eine Ostflandern, Belgien, Jerusalempilger;784;;Jerusalempilgers Balduinus von Eine (Ostflandern, Belgien);Eine (Ostflandern, Belgien);t:persName
p01397;;Balduinus von Eine Provinz Ostflandern, Belgien, Jerusalempilger;817;;Jerusalempilgers Balduinus von Eine (Provinz Ostflandern, Belgien);Eine (Provinz Ostflandern, Belgien);t:persName
p01398;;Balduin von Châtillon, Archidiakon;879;;Archidiakons (Balduin von Châtillon;Châtillon;t:persName
p01400;;Balduin von Flandern;68;;Balduin (von Flandern);Flandern;t:persName
;;;1130;;Erzbischofs von Lund;;t:persName
p01401;;Balduin von Hennegau Hainaut, Belgien;714;;(Balduin) von Hennegau (Hainaut, Belgien);Hennegau (Hainaut, Belgien);t:persName
p01402;;Baldus;501;;Baldus;;t:persName
p01408;;Barone;1112;;Barone;;t:persName
;;;982;;Erzbischof von Narbonne;Narbonne;t:persName
p01409;;Barthélemy, Bischof von Beauvais;746;;Bischofs B(arthélemy) von Beauvais;Beauvais;t:persName
;;;219;Empfänger;Erzbischof von Reims;Reims;t:persName
;;;227;;Erzbischofs von Reims;Reims;t:persName
;;;335;;Erzbischofs von Reims;Reims;t:persName
;;;336;;Erzbischof von Reims;Reims;t:persName
;;;378;;Erzbischof von Reims;Reims;t:persName
;;;440;;Erzbischof von Reims;Reims;t:persName
;;;634;;Erzbischof von Reims;Reims;t:persName
;;;715;Empfänger;Erz(bischof) von Reims;Reims;t:persName
;;;917;;Erzbischof von Reims;Reims;t:persName
;;;928;;Erzbischofs von Reims;Reims;t:persName
;;;950;Empfänger;Erzbischof von Reims;Reims;t:persName
;;;1008;Empfänger;Erzbischof von Reims;Reims;t:persName
;;;1010;;Erzbischof von Reims;Reims;t:persName
;;;1026;Empfänger;Erzbischof von Reims;Reims;t:persName
;;;1042;;Erzbischof von Reims;Reims;t:persName
;;;1042;;Erzbischof von Reims;Reims;t:persName
;;;1078;Empfänger;Erzbischof von Reims;Reims;t:persName
;;;1079;Empfänger;Erzbischof von Reims;Reims;t:persName
;;;1105;Empfänger;Erzbischof von Reims;Reims;t:persName
;;;1120g;;Erzbischof von Reims;Reims;t:persName
;;;1124b;;Erzbischof von Reims;Reims;t:persName
;;;1127e;;Erzbischof von Reims;Reims;t:persName
;;;1127f;;Erzbischof von Reims;Reims;t:persName
;;;1133;Empfänger;Erzbischof von Reims;Reims;t:persName
p01411;;Barthélemy de Jur, Bischof;634;;Bischofs Barthélemy de Jur;;t:persName
;;;1127b;Empfänger;Erzbischof von Sens;Sens;t:persName
p01412;;Barthélemy de Jur, Bischof von Laon;1065;;B(arthélemy de Jur), Bischof von Laon;Laon;t:persName
p01413;;Barthélemy de Montcornet, Bischof von Beauvais;547;;Bischofs (Barthélemy de Montcornet) von Beauvais;Beauvais;t:persName
;;;172;;Erzbistum Reims;Reims;t:orgName
;;;175;;Erzbistum Reims;Reims;t:orgName
;;;177;;Erzbistum Reims;Reims;t:orgName
;;;181;;Erzbistum Reims;Reims;t:orgName
;;;197;;Erzbistum Reims;Reims;t:orgName
;;;268;;Erzbistum Reims;Reims;t:orgName
;;;766;;Erzbistum Reims;Reims;t:orgName
p01414;;Barthélemy von Laon;422;;(Barthélemy) von Laon;Laon;t:persName
;;;600;;Erzbischofs (Eskil) von Lund;Lund;t:persName
o02224;;Étampes;609;Ausstellungort;Étampes;Étampes;t:placeName
p01415;;Bartholomäus;832;;Bartholomäus;;t:persName
;;;907;Empfänger;Bischof (Étienne) von Autun;Autun;t:persName
;;;911;;Bischof (Étienne) von Autun;Autun;t:persName
p01416;Bartholomäus, Bischof von Beauvais;Bartholomäus, Bischof von Beauvais;791;;Bischöfe (Bartholomäus) von Beauvais;Beauvais;t:persName
p01423;Bartholomäus, Bischof von Laon;Bartholomäus, Bischof von Laon;1025;;Bischof Bartholomäus von Laon;Laon;t:persName
p01425;Bartholomäus, Erzbischof von Tours;Bartholomäus, Erzbischof von Tours;1110g;Empfänger;Erzbischof (Bartholomäus) von Tours;Tours;t:persName
p01427;;Bartholomäus, Thesaurar in Laon;471;;Bartholomäus, dem Thesaurar in Laon;Laon;t:persName
;;;469;Empfänger;Eugen III.;;t:persName
;;;470;Aussteller;Eugens III.;;t:persName
;;;471;Aussteller;Eugen III.;;t:persName
;;;472;Empfänger;Papst Eugen III.;;t:persName
;;;473;;Eugens III.;;t:persName
;;;475;Aussteller;Eugen III.;;t:persName
;;;476;Aussteller;Eugen III.;;t:persName
;;;477;Aussteller;Eugens III.;;t:persName
;;;478;Aussteller;Eugens III.;;t:persName
;;;479;Aussteller;Eugens III.;;t:persName
;;;480;Aussteller;Eugen III.;;t:persName
;;;481;Aussteller;Eugens III.;;t:persName
;;;482;Aussteller;Eugen III.;;t:persName
;;;550;;Eugens (III.);;t:persName
;;;747;;Eugen (III.);;t:persName
;;;979;;Papst Eugen (III.);;t:persName
;;;1071;;Eugens (III.);;t:persName
;;;1107;;Eugens (III.);;t:persName
p01428;;Bartholomäus von Beauvais;760;;(Bartholomäus) von Beauvais;Beauvais;t:persName
p01429;;Bartholomäus von Laon;438;Empfänger;B(artholomäus) von Laon;Laon;t:persName
p01433;Bartholomäus, Erzbischof von Narbonne;Bartholomäus von Narbonne;20;Empfänger;Bartholomäus (von Narbonne);Narbonne;t:persName
;;;774;;Eust(ache), den Magister der Templerbrüder;;t:persName
p01434;;Bartholomeus, Bischof von Beauvais;735;;Bischöfen B(artholomeus) von Beauvais;Beauvais;t:persName
p01436;;Bartholomeus von Tours;246;Empfänger;B(artholomeus) von Tours;Tours;t:persName
o02256;;Eve c. Nanteuil-le-Haudouin, arr. Senlis, Oise;1029;Ort;Eve (c. Nanteuil-le-Haudouin, arr. Senlis, Oise);Eve (c. Nanteuil-le-Haudouin, arr. Senlis, Oise);t:placeName
p01438;;Basilios;87;;Basilios;;t:persName
p01439;;Beatrix, Frau, Witwe;759;;Frau B(eatrix), Witwe;;t:persName
p01458;;Bellot., Mutter;716;;Mutter Bellot.;;t:persName
p01460;Benedikt III., Papst;Benedikt III.;53;Aussteller;Benedikt III.;;t:persName
p01477;Benedikt IV., Papst;Benedikt IV.;156;Aussteller;Benedikts IV.;;t:persName
p01479;Benedikt IX., Papst;Benedikt IX.;221;Aussteller;Benedikt IX.;;t:persName
p01480;Benedikt VII., Papst;Benedikt VII.;190;Aussteller;Benedikt VII.;;t:persName
p01481;Benedikt VIII., Papst;Benedikt VIII.;219;Aussteller;Benedikt VIII.;;t:persName
p01556;;Berengar, Kleriker guten Leumunds;708;;Berengar, einem Kleriker guten Leumunds;;t:persName
p01557;;Bernard de Saint-Valery arr. Abbeville, ibid.;757;;Bernard de Saint-Valery (arr. Abbeville, ibid.);Saint-Valery (arr. Abbeville, ibid.);t:persName
p01558;;Bernard von Saint-Valery arr. Abbeville, Somme, edler;769;;edlen B(ernard) von Saint-Valery (arr. Abbeville, Somme);Saint-Valery (arr. Abbeville, Somme);t:persName
;;;929;;F., des sogenannten Kaisers;;t:persName
p01559;;Bernered von Saint-Crépin le-Grand, Soissons, Aisne;946;;(Bernered von) Saint-Crépin (le-Grand, Soissons, Aisne);Saint-Crépin (le-Grand, Soissons, Aisne);t:persName
;;;514;;(Fastreds), Abt von Clairvaux;Clairvaux;t:persName
o02271;;Faverolles ibid.;878;Ort;Faverolles (ibid.);Faverolles (ibid.);t:placeName
o02272;;Ferentino;1000;Ausstellungort;(Ferentino;(Ferentino;t:placeName
;;;1001;Ausstellungort;(Ferentino;(Ferentino;t:placeName
;;;1008;Ausstellungort;Ferentino;Ferentino;t:placeName
;;;1009;Ausstellungort;(Ferentino;(Ferentino;t:placeName
;;;1010;Ausstellungort;Ferentino;Ferentino;t:placeName
;;;1011;Ausstellungort;Ferentino;Ferentino;t:placeName
;;;1012;Ausstellungort;Ferentino;Ferentino;t:placeName
o02279;;Ferrières im Gau Sens;372;Ort;Ferrières im Gau Sens;Ferrières im Gau Sens;t:placeName
p01560;Bernhard, Abt von Clairvaux;Bernhard, Abt von Clairvaux;420;Aussteller;Bernhard, Abt von Clairvaux;Clairvaux;t:persName
p01572;;Bernhard, Bischof von Porto;527;;B(ernhard), Bischof von Porto;Porto;t:persName
o02282;;Ficarolo;285;Ausstellungort;Ficarolo;Ficarolo;t:placeName
o02283;;Fismes arr. Reims, Marne;1042;Ort;Fismes (arr. Reims, Marne);Fismes (arr. Reims, Marne);t:placeName
o02284;;Flandern;536;Ort;Flandern;Flandern;t:placeName
;;;537;Ort;Flandern;Flandern;t:placeName
;;;538;Ort;Flandern;Flandern;t:placeName
;;;540;Ort;Flandern;Flandern;t:placeName
;;;586;Ort;Flandern;Flandern;t:placeName
p01573;;Bernhard, Leprose;833;;Leprose Bernhard;;t:persName
;;;132;Empfänger;Formosus;;t:persName
;;;133;Aussteller;Formosus;;t:persName
;;;134;Aussteller;Formosus;;t:persName
;;;135;Aussteller;Formosus;;t:persName
;;;136;Aussteller;Formosus;;t:persName
;;;137;Aussteller;Formosus;;t:persName
;;;138;Empfänger;Formosus;;t:persName
;;;139;Aussteller;Formosus;;t:persName
;;;140;Aussteller;Formosus;;t:persName
;;;141;Aussteller;Formosus;;t:persName
;;;142;Aussteller;Formosus;;t:persName
;;;143;Empfänger;Formosus;;t:persName
;;;144;Empfänger;Formosus;;t:persName
;;;145;Empfänger;Formosus;;t:persName
;;;146;Aussteller;Formosus;;t:persName
;;;147;Empfänger;Formosus;;t:persName
;;;148;Empfänger;Formosus;;t:persName
;;;149;;Papst Formosus;;t:persName
;;;150;Aussteller;Formosus;;t:persName
p01574;Bernhard, Bischof von Nantes;Bernhard von Nantes;475;Empfänger;B(ernhard) von Nantes;Nantes;t:persName
;;;105;Aussteller;Formosus, (Bischof von Porto);Porto;t:persName
;;;106;Empfänger;Formosus, Bischof (von Porto);Porto;t:persName
o02312;;Fouilloy c. Corbie, arr. Amiens, Somme;917;Ausstellungort;Fouilloy (c. Corbie, arr. Amiens, Somme);Fouilloy (c. Corbie, arr. Amiens, Somme);t:placeName
p01575;;Bernred, Bischof von Palestrina;1053;;Bischofs B(ernred) von Palestrina;Palestrina;t:persName
o02314;;Frampas;589;Ort;Frampas;Frampas;t:placeName
o02315;;Frampas, c. Montier-en-Der, arr. Saint-Dizier, Haute-Marne;585;Ort;Frampas, c. Montier-en-Der, arr. Saint-Dizier, Haute-Marne;Frampas, c. Montier-en-Der, arr. Saint-Dizier, Haute-Marne;t:placeName
;;;554;Ort;Frampas (c. Montier-en-Der, arr. Saint-Dizier, Haute-Marne);Frampas (c. Montier-en-Der, arr. Saint-Dizier, Haute-Marne);t:placeName
;;;626;Ort;Frampas (c. Montier-en-Der, arr. Saint-Dizier, Haute-Marne);Frampas (c. Montier-en-Der, arr. Saint-Dizier, Haute-Marne);t:placeName
o02318;;Francia;237;Ort;Francia;Francia;t:placeName
;;;279;Ort;Francia;Francia;t:placeName
;;;284;Ort;Francia;Francia;t:placeName
;;;295;Ort;Francia;Francia;t:placeName
;;;304;Ort;Francia;Francia;t:placeName
;;;304;Ort;Francia;Francia;t:placeName
;;;304;Ort;Francia;Francia;t:placeName
;;;304;Ort;Francia;Francia;t:placeName
;;;304;Ort;Francia;Francia;t:placeName
p01578;;Berta, Äbtissin;132;;Äbtissin Berta;;t:persName
o02328;;Frankreich;212;Ort;Frankreich;Frankreich;t:placeName
;;;236;Ort;Frankreich;Frankreich;t:placeName
;;;264;Ort;Frankreich;Frankreich;t:placeName
;;;361;Ort;Frankreich;Frankreich;t:placeName
;;;421;Ort;Frankreich;Frankreich;t:placeName
;;;438;Ort;Frankreich;Frankreich;t:placeName
;;;515;Ausstellungort;Frankreich;Frankreich;t:placeName
;;;628;Ort;Frankreich;Frankreich;t:placeName
;;;641a;Ausstellungort;Frankreich;Frankreich;t:placeName
p01579;;Bertarius, Priester;150;;Priester Bertarius;;t:persName
p01580;;Berthefried, Bischof von Amiens;53;;Bischof Berthefried von Amiens;Amiens;t:persName
;;;709;;Frau;;t:persName
;;;782;;Frau;;t:persName
;;;903;;Frau;;t:persName
p01583;Berthold, Bischof von Metz;Berthold, Bischof von Metz;1060;Empfänger;(Berthold), Bischof von Metz;Metz;t:persName
p01584;;Bertram, Bischof von Metz;1122c;Empfänger;Bischof Bertram von Metz;Metz;t:persName
p01586;;Betto, Abt der Benediktinerabtei Sint-Baafs in Gent;497;;Betto, Abt der Benediktinerabtei Sint-Baafs in Gent;Sint-Baafs in Gent;t:persName
p01587;;Bevollmächtigte;954;;Bevollmächtigte;;t:persName
p01588;;Bewohner ihrer Vorstadt in Reims;1110a;;Bewohner ihrer Vorstadt in Reims;Reims;t:persName
p01590;;Bibliothekar der römischen;257;;Bibliothekar der römischen;römischen;t:persName
p01592;;Bischof;911b;;Bischof;;t:persName
p01593;;Bischöfe;58;;Bischöfe;;t:persName
p01599;;Bischöfe, den von Orléans;386;;Bischöfe, den von Orléans;Orléans;t:persName
p01600;;Bischöfe aus der Kirchenprovinz Reims;28;Aussteller;Bischöfe aus der Kirchenprovinz Reims;Reims;t:persName
p01601;;Bischöfe der Francia;279;;Bischöfe der Francia;Francia;t:persName
;;;801;;Kirchenverfolgers F(riedrich);;t:persName
p01603;;Bischöfe der Kirchenprovinz Reims;171;Aussteller;Bischöfe der Kirchenprovinz Reims;Reims;t:persName
;;;523;;Kaiser Friedrich (I.);;t:persName
;;;524;;Kaiser Friedrich (I.);;t:persName
;;;586;;ehemaligen sog. Kaisers F(riedrichs I.);;t:persName
;;;1017;;Kaiser Friedrich I.;;t:persName
p01608;;Bischöfen von Evreux;515;;Bischöfen von Evreux;Evreux;t:persName
p01609;;Bischöfen von Soissons;226;;Bischöfen von Soissons;Soissons;t:persName
p01611;;Bischöfe von Laon;296;;der Bischöfe von Laon;Laon;t:persName
p01612;;Bischöfe von Orléans;387;;Bischöfe von Orléans;Orléans;t:persName
p01613;;Bischöfe von Troyes;314;;Bischöfe von Troyes;Troyes;t:persName
